_id,NOSUNNUM,BUSLINEID,COMPANY,START,MIDD,END,FKM,FMIN,NOMAL1,NOMAL2,SATTIME,REDTIME,STARTTIME,ENDTIME
1,2,5200002000,동원,다대포,하단,자유시장,46.8 ,150 ,5 ,6,7,8~9,05:00,22:00
2,6,5200006000,남부,봉래동,남포동,괴정,24.1 ,84 ,5 ,6,8,9 ,04:55,22:45
3,7,5200007000,남부,청학동,남포동,부산국제 수산물도매시장,29.3 ,92 ,12 ,14 ,14 ,16 ,05:00,22:37
4,8,5200008000,신한,태종대,영도대교,서부터미널,38.0 ,121 ,6 ,6~7,7~8,7~8,04:48,22:13
5,9,5200009000,남부,봉래동,남포동,감천항,26.5 ,85 ,25 ,27,40,40 ,04:50,23:10
6,10,5200010000,국제,사직동,서면,부경대,35.0 ,118,7 ,8,8,9,04:35,22:20
7,11,5200011000,동진,다대포,하단,영선동,42.6 ,150 ,4 ,5,4,7 ,05:00,22:00
8,15,5200015000,삼진,금곡주공,서부터미널,충무동,53.0 ,150 ,4~5,5,5~6,6 ,05:00,22:05
9,16,5200016000,영신,엄궁,감천,구덕운동장,36.5 ,125 ,5~6,5~6,5~7,5~7,05:00,22:30
10,17,5200017000,영신,감천2동,서면,국제백양아파트,36.6 ,135 ,5~6,6,5~6,7~8,04:30,22:40
11,20,5200020000,시민,용호동,연산동,서면,32.2 ,80~106,5 ,6~7,6~7,7~8,05:00,22:25
12,22,5200022000,시민,용호동,초량,수정동,37.2 ,106 ,10 ,12,11,12 ,05:00,22:35
13,23,5200023000,신성,감만동,서면,선암사,22.1 ,105 ,4 ,4~5,4~5,4~5,04:30,22:45
14,24,5200024000,시민,용호동,대연동,서면,22.0 ,50~65,4 ,5,6,6 ,05:00,23:00
15,26,5200026000,신성,감만동,부산역,송도혜성아파트,28.1 ,110 ,7~8,8,7~8,8 ,04:40,22:40
16,27,5200027000,시민,용호동,부산역,충무동,31.0 ,75~100,5 ,6,6,7 ,04:40,22:40
17,29,5200029000,세진,남산동,서면,안창마을,43.6 ,170 ,6 ,8,7,8 ,04:50,21:40
18,30,5200030000,신한,태종대,영도대교,송도,24.6 ,80 ,5~6,5~6,6~7,7~8,04:35,23:10
19,31,5200031000,일광 세익,해운대,거제리,모라주공,56.0 ,183 ,5 ,5,6,6 ,05:00,22:20
20,33,5200033000,한창,초읍,서부터미널,만덕,45.0 ,145 ,3~5,4~5,5~6,6~7,04:30,22:10
21,36,5200036000,일광,해운대,동래,구서롯데APT,50.6 ,160 ,12 ,13,15,16 ,05:00,22:20
22,37,5200037000,삼신,범어사입구,정관,한빛3차아파트,64.0 ,142 ,17 ,22,20,23,05:10,23:00
23,38,5200038000,부일,신시가지,황령터널,중앙공원관리사무소,52.1 ,185 ,20 ,22~25,25~27,29~30,04:50,22:20
24,39,5200039000,부산,기장,해운대,용호동 남구국민 체육센터,58.0 ,175,8 ,9,10,12,05:00,22:05
25,40,5200040000,부일,신시가지,부산역,구덕운동장,52.1 ,160,8,9~10,9,10,04:45,22:20
26,41,5200041000,용화,민락동,부산역,충무동,27.0 ,92 ,5~6,6,6~7,8~9,05:00,22:45
27,42,5200042000,삼화,회동동,수영교차로,진시장,35.0 ,140 ,12 ,15,16,18,05:10,22:30
28,43,5200043000, 대진 삼성,반여농산물시장,서면,중앙공원관리사무소,50.4 ,175 ,6 ,9 ,8 ,9 ,04:50,22:20
29,44,5200044000,일신,반여3동,동래사직운동장,당감4동,39.0 ,125 ,6 ,7,7,7 ,04:50,22:28
30,46,5200046000,태진,구포3동,만덕1터널,온천장,32.3 ,109 ,10 ,13,15,15 ,04:55,22:38
31,49,5200049000,삼신,범어사입구,부산대,광안리해수욕장,42.0 ,160 ,7 ,8.0,8.0,8.0,05:00,22:15
32,50,5200050000,삼신,덕계,미남R,법원검찰청,59.5 ,173 ,9 ,12,11,12,05:00,22:00
