_id,BUSLINENUM,ORD,BUSSTOPNAME,SIGUNNAME,GUNAME,DONGNAME,X,Y,UNIQUEID,BUSSTOPID,REALTIME,
214,100-1,13,건널목삼거리,부산광역시,해운대구,우1동,129.16247,35.16691949,09059,21090511003,186010201,
215,100-1,14,스펀지,부산광역시,해운대구,우1동,129.1616356,35.16533688,09254,21090511011,186410301,
216,100-1,15,해운대역,부산광역시,해운대구,우1동,129.1588128,35.16375295,09102,21090511019,185960301,
217,100-1,16,운촌,부산광역시,해운대구,우1동,129.1516338,35.16030928,09120,21090511020,186170301,
218,100-1,17,동백역,부산광역시,해운대구,우1동,129.1482436,35.16150973,09255,21090511021,185470301,
219,100-1,18,부산문화여고,부산광역시,해운대구,우1동,129.1449037,35.16316162,09132,21090511022,185470302,
220,100-1,19,올림픽교차로,부산광역시,해운대구,우2동,129.1406213,35.16752982,09134,21090521008,186260301,
221,100-1,20,벡스코,부산광역시,해운대구,우2동,129.137412,35.17034498,09139,21090521001,185300501,
222,100-1,21,삼호가든,부산광역시,해운대구,우2동,129.1353198,35.17126576,09141,21090521010,185070301,
223,100-1,22,삼성홈플러스,부산광역시,해운대구,우2동,129.1339622,35.17180969,09142,21090521011,185070302,
224,100-1,23,센텀센시빌,부산광역시,해운대구,우2동,129.1316441,35.17459969,09144,21090521012,184270301,
225,100-1,24,센텀고등학교,부산광역시,해운대구,재송1동,129.1286759,35.17720333,09146,21090641017,184270302,
226,100-1,25,유창맨션,부산광역시,해운대구,재송1동,129.1257066,35.17950921,09148,21090641019,184410301,
227,100-1,26,센텀동부센트레빌,부산광역시,해운대구,재송1동,129.122813,35.18241184,09155,21090641011,184410302,
228,100-1,27,수영4호교,부산광역시,해운대구,재송1동,129.1188207,35.18429178,09331,21090641030,210210301,
229,100-1,28,수영강푸르지오아파트,부산광역시,연제구,연산9동,129.1119113,35.18460069,13161,21130631027,208630201,
230,100-1,29,연제예식장,부산광역시,연제구,연산9동,129.1094452,35.18460744,13163,21130631030,194380201,
231,100-1,30,부산소방본부 교통정보서비스센터,부산광역시,연제구,연산9동,129.106437,35.18461969,13148,21130631024,193460401,
232,100-1,31,엘지아파트,부산광역시,연제구,연산9동,129.104409,35.18539068,13149,21130631026,193470301,
233,100-1,32,경상대학정문,부산광역시,연제구,연산8동,129.1007662,35.18573907,13073,21130621006,193400301,
234,100-1,33,경상대학후문,부산광역시,연제구,연산8동,129.0974727,35.18574896,13156,21130621005,193400302,
235,100-1,34,현대아파트,부산광역시,연제구,연산8동,129.0943643,35.18597903,13068,21130621004,193400303,
236,100-1,35,연산중학교,부산광역시,연제구,연산1동,129.0887002,35.18572363,13145,21130551002,193440201,
237,100-1,36,연일시장,부산광역시,연제구,연산4동,129.0852777,35.18583228,13154,21130581002,193450401,
238,100-1,37,연산교차로,부산광역시,연제구,연산4동,129.0832586,35.18595609,13162,21130581014,193730201,
239,100-1,38,목화예식장,부산광역시,연제구,연산4동,129.0814419,35.18770586,13054,21130581010,193360601,
240,100-1,39,현대자동차서비스,부산광역시,연제구,연산4동,129.0805578,35.1912123,13009,21130581008,193360602,
241,100-1,40,교대역,부산광역시,연제구,거제1동,129.0799357,35.19671176,13003,21130511015,193350401,
242,100-1,41,(구)송월타올,부산광역시,동래구,사직3동,129.077969,35.20024024,06142,21060601002,165640401,
243,100-1,42,동래역,부산광역시,동래구,온천2동,129.078175,35.20606138,06067,21060561003,166180401,
244,100-1,43,롯데백화점동래점,부산광역시,동래구,온천1동,129.0791299,35.21336811,06032,21060551015,165500101,
245,100-1,44,늘봄호텔,부산광역시,동래구,온천1동,129.0798078,35.21578883,06025,21060551016,179510301,
246,100-1,45,온천장,부산광역시,동래구,온천1동,129.0824119,35.21827602,06024,21060551019,166480101,
247,100-1,46,SK허브스카이,부산광역시,동래구,온천1동,129.0850024,35.22109137,06012,21060551010,165400101,
248,100-1,47,식물원입구,부산광역시,금정구,장전3동,129.0823043,35.22420669,11098,21110631001,165350301,
249,100-1,48,금정초등학교,부산광역시,금정구,장전3동,129.0830351,35.2268854,11092,21110631009,175670101,
250,100-1,49,부산대학교후문,부산광역시,금정구,장전3동,129.0853922,35.22851256,11089,21110631010,175830201,
251,100-1,50,부산대학교정문,부산광역시,금정구,장전3동,129.0869001,35.23214383,11081,21110631014,175620102,
252,100-1,51,장전1치안센터,부산광역시,금정구,장전1동,129.0877381,35.23570123,11076,21110611008,175640101,
253,100-1,52,장전역,부산광역시,금정구,장전1동,129.0880262,35.23839881,11071,21110611003,174970101,
254,100-1,53,장전동어린이놀이터,부산광역시,금정구,장전1동,129.0863624,35.23812668,11074,21110611002,174830201,
255,100-1,54,장전중앙교회,부산광역시,금정구,장전1동,129.0860355,35.23528615,11075,21110611006,174960301,
